Particles,Run,Floating Count,Energy
9,0,0,59.846898395596696
9,1,1,60.87797657903134
9,2,1,60.87791370963825
9,3,1,60.877864475419784
9,4,0,59.846902227906234
9,5,0,59.84689839559651
9,6,1,60.87786863381917
9,7,0,59.846898395596696
9,8,1,60.87800968661573
9,9,0,59.84689904397921
10,0,1,77.84755523397453
10,1,1,77.8469271640406
10,2,1,77.84704354391243
10,3,1,77.84728763442554
10,4,0,77.24899795941988
10,5,1,77.84700974351664
10,6,1,77.84707304964726
10,7,1,77.84705500576123
10,8,1,77.84690530388764
10,9,1,77.84698460961764
11,0,1,97.24900404933445
11,1,1,97.24914530337153
11,2,1,97.24919739665816
11,3,1,97.24899860938328
11,4,1,97.24901305304567
11,5,1,97.24908766845063
11,6,1,97.24947282283551
11,7,1,97.24904793848148
11,8,1,97.24943259198477
11,9,1,97.24926917248541
12,0,1,119.15138950201371
12,1,1,119.15179638221736
12,2,1,119.15138168240182
12,3,1,119.15135425507876
12,4,1,119.1514525768212
12,5,1,119.15135043599918
12,6,1,119.15142969775295
12,7,1,119.15152675156554
12,8,1,119.1513849588133
12,9,1,119.15144701833579
