Particles,Min_Floating,Min_Energy
9,6,0.36338514226471685
10,6,1.3382401759698546
11,5,0.462489907467148
12,7,0.5577746864661542
13,6,2.1708544294721523
14,9,0.3161789709160423
15,7,0.2527011371057806
16,11,1.2392325499109487
17,9,0.4415078413624772
18,11,0.24704825601782465
19,12,0.2147876229038299
20,12,0.6709706144843525
21,13,2.5485275682598285
22,14,0.13631338468748735
23,16,1.015881359534649
24,14,0.8676870401860592
25,18,1.0801069492665747
