Particles,Avg Floating,Avg Energy
9,7.3,4.205452782636594
10,7.1,5.558934098182399
11,9.0,4.415989061556317
12,7.9,5.029672492572912
13,10.2,4.5117175552754
14,9.8,2.8957455582295486
15,11.3,5.973186564429178
16,12.7,4.674781030033278
17,13.1,3.9589670164552486
18,12.7,4.801142165787668
19,14.5,5.383612013086949
20,15.6,5.238142636369636
21,16.0,4.690270986559048
22,15.6,5.317251046678682
23,18.2,4.0240051455242725
24,18.7,3.0836503924735323
25,18.8,4.612808539659115
